Môn học,Đại số tuyến tính,Giải tích,Kiến trúc máy tính,Lập trình Python cơ bản (2+1*),Cấu trúc dữ liệu và giải thuật (2+1*),Cơ sở kỹ thuật lập trình (2+1*),Mạng máy tính (2+1*),Cơ sở thẩm mỹ (2+1*),Thiết kế đồ họa cơ bản (2+1*),Thiết kế web cơ bản (2+1*),Pháp luật đại cương,Kỹ năng mềm,Tiếng Anh tăng cường,Giáo dục thể chất 1,Giáo dục thể chất 2,Giáo dục thể chất 3
10122323,7.3,6.9,7.5,7.0,5.7,7.1,5.6,6.8,6.3,5.3,7.0,8.7,7.0,8,6,7.0
10122334,7.3,7.5,6.5,7.0,5.0,6.0,5.8,8.0,5.8,7.8,7.3,8.9,6.5,7,7,7.0
10122356,7.2,7.3,7.0,8.4,5.9,6.0,7.6,6.3,6.8,7.5,8.0,9.2,6.5,8,9,8.0
10122365,6.7,6.1,6.3,5.5,6.6,8.2,6.4,7.3,7.5,7.0,7.4,8.3,6.5,8,5,8.0
10122391,7.5,7.8,6.8,6.5,6.1,5.0,6.4,7.0,7.3,6.4,7.4,8.0,7.5,10,7,8.0
10122401,6.8,8.9,8.0,6.8,7.2,7.5,6.6,6.5,7.8,6.8,8.8,8.1,7.0,8,8,8.0
10122406,8.7,6.7,6.5,6.9,8.0,7.4,5.6,5.8,5.8,5.5,6.0,8.0,6.5,9,6,7.0
10122409,6.7,7.3,7.3,6.0,5.8,6.0,6.0,6.5,6.5,6.3,7.8,8.2,7.0,9,8,8.0
10122414,7.3,8.3,6.5,5.8,6.1,7.0,5.8,6.8,7.0,6.3,8.5,8.4,8.0,8,8,6.0
10122416,9.4,5.8,9.3,6.5,5.6,7.5,6.6,5.5,7.0,7.3,6.8,8.4,7.0,7,8,7.0
10122423,8.3,5.8,6.3,7.2,7.0,6.0,6.4,7.0,7.8,6.0,7.2,8.2,7.5,6,7,7.0
10122002,7.8,6.4,6.8,6.9,6.2,6.9,7.8,7.5,7.5,5.0,7.5,8.2,6.5,8,9,8.0
10122016,7.5,7.0,7.0,6.3,8.2,6.9,7.1,7.5,7.2,6.8,6.0,8.1,6.5,8,8,6.0
10122028,8.5,8.5,5.0,5.8,8.6,5.5,7.8,7.8,6.5,7.5,7.2,8.2,6.5,4,9,7.0
10122039,7.4,7.9,7.0,6.9,6.9,6.1,7.2,8.8,7.5,5.5,7.5,8.7,6.5,9,7,8.0
10122054,7.2,8.4,6.0,7.7,6.4,5.8,7.5,6.5,7.8,7.3,7.3,8.4,7.5,9,8,9.0
10122062,6.4,5.9,5.8,6.5,5.2,6.1,6.6,7.0,7.0,7.8,6.8,8.6,7.0,7,7,7.0
10122080,8.0,8.3,7.3,5.0,5.4,5.5,5.8,6.0,5.4,5.5,7.6,7.8,5.0,8,8,9.0
10122113,9.3,9.1,7.8,5.8,7.0,7.0,8.7,6.8,6.8,7.3,8.0,8.0,7.5,8,8,8.0
10121715,6.0,5.8,5.8,6.2,8.5,6.4,7.5,6.5,6.5,6.3,6.5,8.2,7.0,9,8,9.0
11022326,9.4,9.3,7.3,7.5,6.5,6.9,7.4,6.8,7.3,7.3,9.0,8.8,8.0,8,8,8.0
10122145,5.5,8.3,8.0,5.9,5.4,7.0,7.8,7.5,7.5,5.0,8.2,8.2,7.5,9,9,8.0
12521084,7.5,7.4,4.0,6.5,9.1,6.9,6.6,7.3,7.3,2.5,7.5,8.5,6.5,5,6,8.0
10122237,6.5,8.5,6.3,7.5,5.5,7.0,6.4,6.5,6.8,5.0,7.2,8.5,7.0,8,6,8.0
10122259,8.1,5.6,6.8,5.9,7.2,5.5,5.2,7.0,7.3,6.8,6.3,8.6,7.5,9,7,9.0
10122263,6.9,8.8,8.0,6.4,8.0,6.5,6.4,7.3,7.0,7.3,8.8,8.6,7.0,9,7,6.0
10122266,4.8,5.2,6.8,5.7,5.3,6.3,7.2,5.8,6.5,7.4,7.2,7.9,7.5,8,9,7.0
10122269,7.3,7.4,8.3,6.5,7.5,7.2,6.2,7.3,6.8,8.0,5.9,7.8,8.5,8,6,7.0
10122274,9.5,8.6,7.8,6.7,6.2,6.8,7.4,7.8,7.5,7.0,8.5,8.7,7.5,9,6,9.0
12522073,9.4,6.9,7.3,6.2,5.9,6.3,7.8,8.3,7.5,7.0,7.4,8.7,7.5,8,8,9.0
10122276,6.8,6.9,7.5,6.5,6.3,4.5,6.4,6.8,7.5,2.5,7.7,8.3,8.0,9,6,7.0
10122279,7.7,7.2,6.5,5.9,7.1,5.7,3.4,5.8,6.0,7.4,5.8,8.4,0.0,9,2,6.0
10122288,7.3,7.5,8.3,5.2,5.8,5.0,7.1,6.5,5.8,6.0,7.0,8.0,7.0,7,7,7.0
10122293,7.3,7.8,6.5,6.8,5.7,6.3,3.6,5.8,6.5,6.5,8.3,8.0,7.0,9,8,9.0
10122294,8.5,8.1,6.8,6.3,7.0,7.0,5.8,8.3,7.0,7.0,7.8,8.2,7.0,8,6,9.0
10122304,6.8,6.3,5.5,7.7,6.1,7.3,7.2,7.8,7.8,9.5,8.6,8.8,7.0,8,6,8.0
10122308,9.1,7.9,8.8,7.3,7.3,6.8,7.4,6.5,7.5,5.8,6.8,8.4,7.5,8,9,8.0
10122315,8.5,7.7,8.0,6.8,6.8,7.3,7.0,8.5,8.5,7.8,7.8,8.5,7.5,9,8,9.0
10122355,7.3,7.0,7.2,6.2,7.1,6.4,8.8,7.5,6.8,5.5,6.3,8.5,7.0,9,6,9.0
10122374,7.9,7.8,7.8,6.5,7.6,6.6,8.7,6.3,7.3,6.3,8.3,8.7,7.5,9,7,9.0
10122375,6.4,6.6,7.0,6.6,6.0,5.7,5.9,6.5,7.5,7.0,7.5,8.8,7.5,8,6,9.0
12522100,8.3,8.5,6.5,6.8,6.3,8.0,7.8,6.8,7.3,7.8,7.0,8.0,7.0,7,8,9.0
10122412,6.0,6.9,7.3,6.7,4.8,5.6,7.1,6.5,8.5,7.0,7.3,8.3,6.5,6,8,9.0
10122004,6.7,7.4,6.8,6.2,6.4,5.6,7.1,7.0,7.8,8.2,7.3,8.5,7.5,8,6,9.0
10122006,6.8,8.9,7.4,8.4,7.7,6.8,7.6,7.5,8.0,6.5,8.0,8.5,7.5,8,7,8.0
10122009,6.0,5.9,6.4,7.5,8.1,7.8,7.8,7.3,6.8,6.0,6.8,8.2,6.5,7,8,6.0
10122015,7.9,6.7,7.3,6.4,6.1,9.2,7.0,7.8,7.5,6.5,7.8,8.1,6.5,7,8,9.0
10122022,8.3,8.1,5.3,7.7,6.7,5.7,6.4,7.8,8.5,8.0,6.5,8.2,7.5,9,6,9.0
10122034,7.8,9.4,7.8,6.3,7.8,8.5,7.5,8.0,8.3,9.0,7.8,8.7,7.0,8,8,9.0
10122036,6.8,7.2,8.0,6.8,5.4,6.8,7.6,7.3,7.3,6.0,7.5,8.4,7.5,9,8,9.0
10122043,9.7,9.5,9.5,7.4,8.4,8.4,7.9,8.8,8.8,8.5,8.8,8.2,6.5,9,9,9.0
10122046,8.8,10.0,9.5,7.4,8.0,8.7,7.3,8.8,9.0,9.0,7.5,8.8,7.0,8,6,9.0
10122047,6.3,9.2,6.5,7.0,5.4,5.8,7.2,6.8,8.3,6.3,6.5,8.3,7.0,9,6,8.0
10122056,6.4,8.0,5.5,7.5,5.7,8.0,8.2,6.8,7.0,8.0,7.4,8.4,8.0,7,8,8.0
10122058,5.2,5.9,0.5,5.9,5.5,6.0,7.9,6.8,5.5,0.0,6.2,8.0,6.5,8,2,7.0
10122066,6.3,5.8,6.8,5.3,4.6,7.1,5.9,8.3,8.3,8.4,7.8,8.3,7.0,9,7,8.0
10122070,6.9,6.9,7.8,5.5,6.7,7.6,7.6,7.3,8.5,5.0,6.5,8.7,7.5,7,8,8.0
10122072,8.9,8.6,8.5,7.0,6.5,6.0,6.0,8.3,7.0,7.3,7.8,8.8,6.5,8,8,9.0
10122078,7.8,8.0,8.3,7.8,6.7,7.9,7.6,6.8,8.3,8.5,7.7,8.6,7.5,8,7,9.0
10122100,6.7,8.0,8.0,5.3,6.5,7.8,7.9,8.0,8.3,5.5,8.8,8.6,7.5,8,9,8.0
10122086,7.5,7.7,7.8,6.5,7.2,5.5,6.2,7.0,7.5,7.8,7.2,8.7,7.5,8,6,9.0
10122089,6.9,7.4,7.0,6.7,6.3,5.3,6.3,7.0,7.8,6.6,7.0,8.3,7.5,6,5,8.0
10122092,6.5,7.7,7.8,6.0,5.7,5.9,6.4,6.3,8.8,5.8,8.4,8.8,6.5,8,7,7.0
10122114,7.8,8.1,7.3,6.7,5.3,8.4,7.4,8.0,7.8,6.5,7.4,8.5,7.0,8,9,6.0
10122118,6.8,7.2,6.3,6.9,5.7,6.7,6.8,8.5,6.3,7.0,7.4,9.0,7.0,7,7,9.0
10122142,7.1,8.5,7.0,7.3,8.1,5.9,7.4,7.0,7.5,5.5,5.9,8.5,7.5,8,8,8.0
10122153,6.9,5.5,6.8,5.8,6.6,7.5,6.4,6.5,8.0,6.3,5.8,7.8,8.0,8,6,7.0
10122150,9.5,9.1,8.5,8.7,8.6,9.1,8.3,7.0,8.3,8.8,7.8,9.2,7.5,9,8,9.0
10122156,6.0,6.0,7.8,5.7,5.4,3.2,7.3,7.0,7.3,1.5,6.4,7.9,7.0,8,6,8.0
10122158,8.9,7.5,6.3,6.5,7.6,5.7,7.4,7.8,5.8,1.5,8.2,8.2,7.0,9,8,9.0
10122161,8.8,7.4,6.3,6.6,7.0,5.5,7.3,7.3,7.5,6.9,6.5,7.8,6.5,8,7,9.0
10122205,7.2,9.8,8.3,6.5,6.6,9.3,7.3,8.0,7.3,7.8,9.0,8.6,7.5,8,9,8.0
10122209,8.2,2.7,5.0,5.9,5.5,6.0,7.2,7.3,6.0,6.5,7.4,7.5,6.5,7,5,7.0
10122242,10.0,8.3,7.0,8.4,6.4,7.1,6.9,6.0,8.0,7.8,7.5,8.8,7.5,9,8,9.0
10122249,7.5,6.3,5.3,7.7,5.5,6.8,6.1,5.5,7.3,6.9,7.3,8.5,6.5,9,6,9.0
10122253,6.7,8.2,6.3,6.3,5.8,5.5,6.5,5.5,6.5,6.3,6.5,8.4,8.0,9,8,8.0
10122258,8.4,8.3,8.3,6.4,6.0,5.5,7.5,6.8,6.8,7.8,7.8,8.2,6.5,8,8,8.0
10122301,7.6,6.8,7.5,5.5,8.3,5.2,6.9,6.8,7.8,5.5,7.0,8.5,7.5,8,9,9.0
10122307,7.3,8.3,7.3,7.0,7.3,6.0,8.2,8.8,8.8,8.0,8.3,8.5,7.0,8,9,9.0
10122317,6.2,7.0,5.0,7.8,6.9,7.0,6.4,7.0,7.3,7.5,7.4,8.7,7.0,7,7,8.0
10122332,7.0,8.3,8.0,8.8,6.8,6.5,6.8,7.8,7.0,6.5,7.5,8.9,6.5,8,9,8.0
10122333,7.7,6.5,6.5,7.0,7.7,6.5,7.6,7.5,6.5,9.5,7.7,8.8,7.5,8,9,7.0
10122343,7.4,8.7,8.5,8.0,7.6,8.5,6.7,7.3,7.8,9.0,8.3,8.5,7.5,6,9,9.0
10122344,7.9,9.7,7.5,7.7,7.1,6.5,6.8,9.0,7.8,8.5,8.5,8.5,6.5,8,9,9.0
10122358,7.6,6.4,7.8,5.9,8.0,6.2,7.3,6.8,7.3,7.3,7.8,8.1,7.5,7,7,7.0
10122364,6.5,6.4,7.3,5.5,6.7,6.5,7.9,7.0,8.8,8.3,8.3,8.9,6.5,8,7,9.0
10122363,7.2,6.0,7.3,5.5,7.6,6.1,6.4,7.3,8.3,6.5,7.8,8.5,7.0,8,7,7.0
10122371,6.9,7.1,6.8,6.9,5.6,5.2,5.9,6.8,6.5,5.5,7.2,8.4,7.0,8,6,7.0
10122398,6.8,7.7,6.8,7.0,5.2,5.0,5.8,7.3,7.3,5.5,7.8,8.0,6.5,9,7,9.0
10122420,8.2,8.2,7.8,6.0,6.2,6.5,6.8,8.0,7.5,7.3,8.3,8.4,6.5,8,6,8.0
10122422,7.8,7.0,5.0,5.7,6.6,5.3,6.9,7.5,8.0,8.8,6.3,8.4,6.5,8,6,9.0
10123103,5.8,5.7,3.5,6.1,1.2,2.7,6.0,2.8,3.0,2.5,6.0,7.0,6.5,7,6,8.0
10123018,6.8,6.8,0.0,7.3,1.0,5.5,5.9,0.0,5.4,2.5,6.5,7.4,0.0,8,7,7.0
10123093,5.4,6.5,2.5,5.8,1.2,1.5,7.3,6.8,6.1,7.3,2.8,6.3,0.0,7,7,6.0
10123192,5.7,1.0,0.0,6.7,6.7,7.0,0.0,7.3,3.1,8.8,3.7,8.4,7.0,7,7,8.0
10123322,0.0,0.0,0.0,4.2,7.8,8.0,6.0,6.8,3.1,5.5,2.0,8.7,0.0,7,6,6.0
10123214,6.7,3.9,6.5,8.0,7.1,5.4,4.3,6.8,5.8,4.5,5.8,7.6,7.0,7,8,6.0
10123336,7.2,3.4,5.0,7.3,7.3,2.8,7.0,5.5,6.3,2.5,5.3,8.0,8.0,7,7,6.0
10123051,7.9,3.8,3.5,7.8,7.0,5.0,4.6,7.0,5.0,6.0,6.8,7.1,0.5,8,7,6.0
10123091,7.7,6.8,8.8,7.7,0.0,7.0,6.9,0.0,5.5,4.8,6.5,8.5,0.0,8,8,8.0
10123114,8.2,5.2,8.3,6.2,6.7,5.8,6.6,7.5,3.2,4.3,4.3,7.8,7.0,7,7,6.0
10123012,6.8,5.0,5.0,6.7,6.7,6.0,5.8,6.0,7.6,2.5,6.3,8.6,7.0,8,8,7.0
10123022,6.3,0.9,0.0,5.8,6.9,6.0,4.3,7.0,7.8,7.4,4.7,8.1,6.5,7,8,8.0
10123076,7.3,6.4,2.5,7.3,6.0,0.5,7.0,7.8,7.5,7.8,5.5,8.3,6.5,7,0,0.0
10123106,5.5,7.2,7.0,6.2,5.8,6.9,5.3,7.0,2.4,5.8,4.8,8.7,7.5,7,7,6.0
10123362,7.0,7.9,6.0,8.3,7.1,5.5,6.9,3.0,2.3,7.5,4.3,7.0,6.5,10,6,6.0
10623022,8.4,7.2,0.0,6.4,5.6,6.0,5.7,7.3,7.2,4.5,5.2,8.4,7.0,10,8,6.0
10123011,7.0,5.3,5.5,7.0,7.5,7.5,6.8,7.8,7.6,6.2,6.3,7.0,7.5,6,4,7.0
10123032,7.0,6.4,5.0,5.9,5.9,5.8,6.0,7.5,7.1,7.3,6.5,8.8,6.5,7,3,7.0
10123217,4.0,1.0,5.0,5.0,6.8,6.5,6.5,6.8,7.6,6.5,6.0,8.9,7.5,8,7,7.0
10123155,6.9,7.2,4.8,6.5,5.7,6.0,6.2,7.5,7.6,6.0,5.3,7.7,7.0,7,7,5.0
10123118,6.3,7.1,7.5,5.5,7.0,6.8,6.2,6.8,7.0,4.5,5.3,7.9,6.5,7,9,6.0
10123212,6.3,6.5,7.0,7.7,7.2,6.0,7.7,6.5,7.2,4.5,5.2,8.7,7.0,8,6,5.0
10123221,7.5,7.5,7.3,7.0,7.4,7.3,6.2,7.0,7.5,5.5,7.0,9.2,7.5,9,9,8.0
10123157,5.5,7.2,6.3,7.2,6.2,6.1,6.5,6.5,8.1,7.4,6.7,7.4,7.0,5,6,6.0
10123313,7.4,7.3,7.3,6.4,6.8,6.3,6.0,7.0,7.2,4.5,6.3,7.8,6.5,6,6,5.0
10123290,7.4,5.9,7.3,6.3,7.3,5.6,6.5,7.0,7.0,6.8,6.4,8.0,7.5,8,7,6.0
12523057,9.3,7.4,7.8,6.7,6.5,6.5,7.7,7.3,7.6,5.5,7.5,9.1,7.5,8,8,6.0
10123286,8.5,9.4,7.5,8.1,7.2,6.8,8.0,8.0,8.1,6.5,7.3,8.9,7.0,8,6,8.0
10123043,6.5,6.6,6.3,7.5,6.3,6.8,6.1,6.8,6.9,8.3,6.3,7.7,6.5,7,8,7.0
10123042,5.8,6.7,6.5,7.6,7.7,8.0,5.2,6.8,7.3,7.0,6.4,8.7,7.5,10,9,9.0
10123305,8.7,8.0,8.3,6.4,7.2,5.9,6.7,6.8,8.1,6.5,8.0,8.8,7.0,7,8,6.0
10123312,6.9,5.7,5.0,7.7,8.2,7.5,6.3,6.5,7.2,7.5,6.0,8.5,7.0,9,6,5.0
10123319,8.5,8.4,7.5,8.2,7.4,5.9,7.4,7.5,7.3,7.4,7.3,9.0,8.0,8,7,7.0
10123173,6.3,7.5,6.8,6.4,5.8,6.9,7.3,7.0,7.7,5.3,5.5,7.7,6.5,8,6,9.0
12523115,6.4,8.4,5.0,5.7,7.7,7.0,7.2,8.3,7.8,5.5,6.0,9.0,8.0,7,5,9.0
10123040,6.8,6.4,7.8,6.6,6.8,7.8,6.3,8.3,8.1,6.8,7.3,8.0,7.0,7,8,6.0
10123058,6.8,7.2,6.8,6.8,6.1,5.8,6.1,7.5,7.9,5.5,6.5,7.2,7.5,10,8,9.0
10123144,6.7,7.9,6.3,8.3,8.0,7.0,6.0,7.3,8.0,6.9,5.5,7.7,7.5,7,8,9.0
10123223,7.9,7.2,7.3,6.6,6.1,7.8,7.6,7.0,8.6,8.3,6.0,8.9,7.5,7,9,8.0
10123348,8.3,9.7,8.0,6.3,6.7,8.1,7.0,7.3,7.4,8.3,6.7,7.8,7.0,7,8,7.0
10123108,9.2,8.2,8.3,7.2,6.0,7.0,7.1,7.3,5.6,5.0,6.3,8.8,7.5,10,6,6.0
10123149,7.4,8.2,5.8,8.0,7.3,8.3,6.7,8.5,8.4,8.2,7.3,7.9,6.5,8,9,7.0
10123174,8.5,9.2,8.0,6.7,6.2,7.2,7.3,8.0,7.8,8.5,8.3,8.2,7.0,8,7,7.0
10123179,9.3,9.5,8.8,7.3,8.0,7.9,7.4,8.3,8.3,8.5,8.3,8.4,7.5,7,9,6.0
12523042,9.4,9.7,9.5,8.2,7.9,9.5,8.0,7.3,7.7,6.5,8.3,9.5,8.0,9,7,6.0
10123218,9.0,,9.0,7.4,8.8,7.1,7.8,8.3,7.6,8.8,9.6,8.4,7.5,8,8,7.0
10123275,8.3,7.3,9.3,7.9,7.8,7.3,7.8,9.0,8.7,8.8,8.7,8.5,7.5,7,6,6.0
10123079,8.9,9.8,9.5,8.0,8.6,9.1,8.0,8.3,8.2,9.5,7.2,9.3,6.5,9,10,7.0
10121446,5.3,4.3,4.5,7.7,4.8,0.0,6.3,0.0,1.5,1.5,6.5,0.7,3.5,7,8,7.0
10123145,5.0,0.0,7.3,6.2,0.0,2.4,6.2,5.0,1.6,2.5,6.0,7.8,0.0,7,7,8.0
10123274,6.9,6.7,4.3,6.4,5.0,4.3,6.7,5.3,5.6,0.0,4.8,7.5,7.0,7,6,7.0
10123170,6.3,6.3,4.8,6.6,0.0,5.5,3.0,0.0,0.0,0.0,5.0,7.3,0.0,7,8,9.0
10123129,4.3,6.4,5.3,6.6,6.9,6.5,6.9,2.5,2.6,2.5,7.4,7.1,6.5,10,6,8.0
10123364,6.4,6.3,6.0,6.9,5.0,5.4,6.9,5.3,1.9,0.0,6.9,7.6,7.0,7,8,7.0
10122397,5.5,3.0,3.5,6.8,6.2,0.0,4.8,6.3,6.0,3.5,7.8,7.6,7.5,9,0,8.0
10123209,5.9,6.3,4.0,7.0,0.0,4.7,6.6,8.0,7.1,0.0,5.3,6.2,7.5,8,7,9.0
10122281,5.9,5.2,3.8,6.4,5.5,1.5,6.9,5.8,7.7,6.0,6.7,8.2,5.5,9,7,6.0
10123315,8.0,1.4,6.0,6.6,4.7,4.1,6.1,5.0,6.3,0.0,5.5,7.8,7.0,7,0,7.0
10123215,8.0,5.3,6.0,6.4,6.2,5.8,6.9,5.0,7.2,5.8,7.5,8.0,8.0,7,6,6.0
10123250,8.3,5.0,7.3,7.0,5.2,5.7,6.2,6.0,7.2,0.0,7.7,7.7,7.0,7,7,6.0
10123325,6.5,5.9,7.0,6.8,5.8,3.9,5.7,7.8,7.8,2.5,3.8,7.3,6.5,8,6,7.0
12523045,7.1,6.3,3.0,5.3,6.5,3.3,7.3,5.8,8.1,8.0,3.8,9.2,6.0,8,7,9.0
10123198,7.0,3.8,4.8,8.0,5.1,6.5,6.6,6.8,8.0,5.3,7.7,7.8,6.5,6,6,7.0
10123020,4.8,6.2,7.0,6.9,4.9,5.4,6.7,5.5,7.9,6.8,5.5,8.2,7.0,7,6,9.0
10123123,7.5,5.8,6.8,7.2,5.8,4.1,6.7,8.3,7.7,2.5,6.3,7.8,7.0,7,7,6.0
10123025,6.8,8.7,6.8,6.2,6.0,6.0,6.7,7.8,7.8,3.0,6.5,8.0,7.0,7,7,8.0
10123318,7.5,6.7,6.5,8.3,6.2,5.7,6.1,5.0,7.3,5.8,6.7,8.0,7.0,6,5,8.0
10123188,8.0,8.2,6.8,7.2,7.9,7.6,6.7,5.5,7.7,6.3,6.8,8.1,7.5,8,8,9.0
10123358,7.0,6.9,6.0,6.2,6.0,6.2,7.3,6.8,7.4,6.0,7.0,7.4,5.5,7,8,7.0
10122247,5.3,3.9,6.8,7.2,6.5,5.0,6.8,7.0,7.4,6.3,6.0,8.2,6.5,8,4,8.0
10123031,6.5,3.0,5.8,7.2,6.3,7.0,7.5,7.3,7.0,5.5,6.0,8.5,8.0,7,6,9.0
10123338,7.4,7.8,7.8,6.7,6.7,5.4,7.3,6.3,6.2,5.8,7.3,8.1,6.5,8,8,8.0
10123243,7.9,7.9,6.0,6.3,5.5,8.2,6.3,6.8,7.0,5.5,6.8,8.6,7.5,8,9,7.0
10123288,7.4,7.2,5.5,7.1,6.4,6.2,7.0,5.3,6.4,6.3,5.5,7.3,7.5,7,8,8.0
10123310,6.8,7.6,7.3,6.6,6.2,5.7,7.3,6.5,7.6,6.5,6.3,8.3,7.0,7,8,7.0
11022296,7.4,6.8,4.5,5.8,8.0,5.0,6.4,7.5,7.7,7.5,6.4,8.7,6.0,9,6,6.0
10123175,6.8,8.4,8.8,6.5,6.9,6.2,7.6,7.3,7.5,8.3,6.9,7.9,7.0,7,5,7.0
10122170,7.3,6.3,7.0,6.0,6.3,7.7,7.0,6.8,6.5,4.0,7.5,8.6,7.5,9,9,9.0
10123095,6.9,6.2,8.3,6.7,6.2,5.6,7.8,7.0,7.8,5.8,8.2,7.9,7.5,7,8,7.0
10123289,7.0,7.9,7.0,7.0,6.0,6.1,6.7,6.8,6.5,7.2,2.9,8.7,6.5,8,7,8.0
10123254,9.4,7.5,5.3,6.9,7.1,8.1,6.7,6.0,7.4,7.8,5.5,8.1,7.5,6,7,7.0
10123120,8.8,8.4,9.0,7.2,8.5,5.6,6.5,7.3,7.3,7.0,8.8,7.8,7.0,7,7,8.0
10123268,7.5,7.8,6.0,7.1,7.1,7.6,7.1,7.3,7.5,8.3,6.5,7.9,7.0,8,7,8.0
10123208,9.2,8.6,7.0,8.1,8.5,7.8,9.0,7.5,7.4,7.3,6.3,7.9,8.5,5,9,9.0
