Mã SV,Công dân số (2+1*),Đại số tuyến tính,Giáo dục thể chất 1,Kỹ năng mềm,Lập trình Python cơ bản (2+1*),Pháp luật đại cương,Lênin,Cơ sở dữ liệu,Cơ sở kỹ thuật lập trình (2+1*),Giải tích,Giáo dục thể chất 2,Hóa học đại cương (1.5+0.5*),Kiến trúc máy tính,Cấu trúc dữ liệu và giải thuật (2+1*),Giải tích số,Giáo dục thể chất 3,Hệ điều hành,Hệ quản trị cơ sở dữ liệu (2+1*),Lập trình hướng đối tượng (2+1*),Lập trình ứng dụng Windows Form (2+1*),Tiếng Anh tăng cường,Công nghệ phần mềm,Đồ án 1,Kiểm thử phần mềm (2+1*),Mạng máy tính (2+1*),Thiết kế web cơ bản (2+1*),Tiếng Anh 1,Xác suất thống kê
10123158,7.2,8.1,8.0,8.9,7.0,6.5,7.2,8.5,7.5,8.5,9.0,7.8,8.5,7.6,8.4,7.0,6.5,7.1,6.8,7.4,6.5,7.2,7.4,7.6,8.7,7.6,8.0,9.7
10123005,6.6,8.7,7.0,9.3,6.5,6.8,7.5,7.8,7.0,9.2,6.0,8.3,7.8,7.7,7.9,8.0,7.3,7.6,7.0,8.9,6.5,8.4,7.2,8.6,9.3,8.6,7.0,8.5
11223272,6.5,8.0,6.0,9.1,7.6,5.8,7.8,7.2,8.0,9.0,7.0,7.8,8.0,7.8,8.2,7.0,8.8,8.5,7.4,8.2,7.0,6.9,9.5,7.4,8.9,8.7,8.2,9.2
10123006,7.0,8.7,8.0,9.3,7.7,6.8,8.4,7.9,8.0,9.0,6.0,7.7,6.8,8.4,9.7,8.0,7.3,8.3,8.8,9.6,7.5,8.4,8.4,8.5,9.3,9.5,9.1,10.0
12423013,7.3,8.1,8.0,8.6,8.6,7.3,8.1,9.2,7.0,9.4,7.0,7.9,5.5,8.8,9.2,7.0,8.3,8.1,8.8,8.0,6.5,7.9,8.2,7.7,8.6,9.2,7.2,9.3
10123293,8.0,8.5,8.0,9.2,7.3,7.0,8.3,8.3,7.8,9.0,9.0,8.1,8.3,8.6,8.8,7.0,7.5,6.6,7.7,9.1,7.0,8.0,9.0,8.1,8.4,8.7,6.8,8.6
12523001,7.4,9.7,9.0,9.3,7.2,6.8,8.7,7.3,9.0,7.9,9.0,8.7,7.5,7.7,7.9,10.0,8.5,8.2,8.5,8.5,6.5,8.9,8.7,8.1,9.2,8.5,7.6,8.2
12523107,7.8,8.9,7.0,8.7,7.5,8.3,8.8,7.8,8.3,8.3,7.0,8.1,8.0,9.1,7.9,7.0,7.8,8.5,8.6,7.8,7.5,7.3,9.0,7.7,9.2,8.3,9.0,9.2
12523046,7.8,7.6,8.0,9.4,8.1,6.0,8.4,7.1,9.8,8.7,7.0,8.6,6.3,8.5,7.3,7.0,8.3,7.4,8.6,8.6,7.5,8.0,8.0,7.9,9.1,8.8,8.9,7.8
10123308,8.1,8.5,7.0,9.3,7.3,7.3,8.2,6.1,7.5,9.2,6.0,8.2,7.3,8.9,9.0,7.0,7.8,8.2,9.4,8.9,6.5,8.4,9.0,7.2,8.5,9.1,6.6,9.6
10123039,9.0,8.8,9.0,9.0,8.8,7.0,7.6,7.4,8.5,7.5,8.0,9.8,6.0,8.7,9.7,7.0,8.3,7.7,7.8,8.1,8.0,8.7,8.2,8.7,9.1,8.5,9.3,9.7
12523068,7.3,9.1,9.0,9.4,7.8,6.8,9.1,8.8,9.3,8.9,9.0,8.7,9.3,8.7,8.5,8.0,8.8,7.7,7.3,8.2,6.5,8.4,9.5,8.3,8.7,8.8,9.3,10.0
12523086,7.8,8.5,8.0,8.8,7.2,7.3,9.1,8.3,8.3,9.8,6.0,9.1,8.0,7.8,8.6,8.0,9.0,8.5,8.2,9.3,6.5,8.8,9.5,7.8,8.8,8.6,6.5,9.7
10122090,6.8,4.3,8.0,8.2,7.0,6.0,,6.3,5.0,5.3,9.0,5.6,4.8,5.6,4.0,9.0,1.5,2.6,6.1,1.5,6.5,0.0,2.0,0.0,6.8,0.0,2.4,4.7
10123282,6.8,5.9,6.0,8.7,5.4,5.0,6.1,5.8,6.8,3.7,0.0,6.2,0.0,5.1,3.8,5.0,1.5,1.5,2.8,1.1,4.5,6.7,2.5,7.2,6.1,0.0,6.6,4.9
10123163,6.6,5.8,7.0,9.3,5.8,5.8,6.8,5.6,6.0,5.7,7.0,7.4,4.0,5.9,3.8,6.0,3.0,2.7,2.1,5.8,6.5,3.2,1.0,6.3,6.8,0.0,5.3,6.9
12523114,6.1,7.8,7.0,9.2,5.1,5.8,6.7,4.5,7.5,7.2,0.0,7.0,2.0,6.2,5.9,9.0,3.5,3.3,2.2,6.1,0.0,2.0,2.5,7.1,6.8,0.0,1.5,4.3
12523036,6.5,5.9,5.0,8.0,7.0,5.5,4.6,5.5,6.3,7.2,6.0,6.6,3.8,4.6,3.0,0.0,3.0,2.2,2.1,5.8,1.0,5.9,4.8,6.2,6.6,6.3,6.9,3.7
12523075,6.5,8.8,7.0,9.3,5.0,7.5,6.6,5.9,7.8,6.7,3.0,7.5,2.0,6.3,2.9,6.0,6.3,7.6,2.1,1.7,7.0,6.4,2.5,7.4,6.2,0.0,7.6,5.4
10123333,6.4,7.4,7.0,7.4,6.4,7.0,5.5,5.0,6.6,5.9,7.0,7.9,4.3,5.3,5.6,8.0,7.0,6.6,5.6,2.0,6.5,7.3,6.4,7.7,7.5,6.9,5.3,5.3
12523078,6.2,7.4,8.0,8.9,5.5,6.2,7.1,7.1,6.4,6.0,7.0,7.4,0.0,5.3,4.3,7.0,5.0,5.3,2.2,1.7,7.0,6.3,2.5,7.2,6.8,8.1,7.2,6.0
10123291,6.8,8.0,6.0,8.2,6.5,5.5,6.5,5.2,2.7,8.8,9.0,7.8,3.0,6.1,7.8,8.0,6.8,2.1,2.2,2.8,1.5,7.0,8.3,7.1,7.2,6.5,6.2,8.2
12523021,7.3,6.5,7.0,8.4,6.0,6.0,5.3,4.7,4.3,7.4,8.0,7.4,3.0,7.5,1.4,8.0,5.8,6.3,7.2,6.7,7.0,6.8,8.7,7.0,7.4,6.2,7.0,6.8
10123162,6.7,7.9,6.0,8.5,5.5,6.3,6.7,5.4,6.7,6.9,7.0,8.1,2.0,5.8,4.2,7.0,6.5,7.3,6.5,6.6,6.5,7.0,6.8,7.0,7.0,6.3,6.2,4.9
10123189,6.9,5.8,6.0,8.9,4.8,6.8,6.1,5.5,8.8,8.2,7.0,7.6,3.0,4.8,6.2,7.0,7.0,5.4,6.7,5.8,6.5,6.7,6.2,7.4,6.5,7.7,5.5,6.3
12523018,6.3,6.9,6.0,9.1,6.8,6.7,6.8,5.7,6.8,7.8,6.0,8.4,0.0,6.7,5.1,8.0,3.3,5.5,6.2,6.4,7.0,6.8,1.0,6.8,7.2,6.3,6.2,5.5
10123262,6.8,6.5,7.0,8.5,6.5,5.8,6.9,5.9,7.4,4.9,6.0,8.3,4.5,6.7,6.3,8.0,5.5,5.4,7.3,6.4,7.0,8.3,8.7,7.8,6.4,6.4,8.6,5.9
12523094,7.5,7.7,7.0,8.3,5.7,6.5,7.8,6.9,7.6,6.4,6.0,6.5,2.5,8.0,6.3,7.0,4.5,6.5,6.2,6.4,6.5,8.0,7.4,6.9,6.1,6.8,7.3,6.3
12522077,7.7,9.0,8.0,8.3,8.2,7.3,,5.3,6.3,6.7,9.0,8.8,5.8,8.2,7.3,8.0,6.5,5.9,8.6,3.2,1.5,6.7,7.5,6.4,6.8,6.7,6.3,6.0
12523013,6.5,6.7,7.0,9.0,6.5,6.8,7.5,7.8,9.1,5.4,6.0,7.5,7.0,7.6,7.7,7.0,6.3,7.6,7.3,6.2,6.5,0.0,4.5,8.2,7.8,7.0,0.0,6.2
10123094,7.1,6.0,6.0,8.4,5.1,5.5,7.3,6.7,6.5,6.8,6.0,6.7,4.0,6.9,3.8,7.0,5.8,2.1,7.0,5.7,6.5,7.2,6.2,6.9,6.9,6.2,5.5,3.8
10123207,6.2,8.0,7.0,8.7,6.4,7.3,6.3,5.5,7.8,7.3,7.0,7.2,5.5,5.5,5.4,8.0,5.8,6.0,5.7,6.5,6.5,7.3,6.3,7.0,6.8,6.4,6.4,5.0
10123316,7.0,7.3,7.0,8.4,5.8,6.8,5.8,5.4,7.3,7.9,8.0,7.8,4.0,5.7,4.9,8.0,6.0,7.1,5.4,6.3,7.0,6.9,8.0,7.0,7.4,6.4,7.5,6.0
10123334,6.1,8.3,6.0,9.1,6.9,5.8,7.7,6.0,7.7,6.0,6.0,7.4,6.0,7.5,5.1,5.0,6.5,8.8,9.1,6.9,6.5,8.3,8.5,7.7,7.7,8.2,6.3,5.1
12523047,7.1,7.4,9.0,9.1,5.5,7.3,7.0,6.9,6.7,8.7,5.0,7.9,2.5,5.3,5.5,9.0,6.0,2.0,6.6,5.4,7.5,6.9,5.0,6.8,6.9,6.3,5.8,6.0
10123314,6.9,6.8,8.0,9.2,6.3,6.8,6.8,5.8,7.0,6.6,7.0,6.8,5.5,6.4,6.1,9.0,6.3,5.8,5.7,5.8,7.0,6.5,7.4,7.1,7.8,6.4,6.3,6.9
10123263,6.1,8.2,9.0,9.1,6.3,6.5,8.3,6.8,6.9,7.1,9.0,7.7,7.5,7.4,7.9,7.0,6.8,6.4,6.8,3.5,6.5,8.0,6.7,7.0,7.8,0.0,7.1,8.2
10123343,7.7,9.3,8.0,8.8,7.8,7.0,8.0,7.8,8.3,9.1,8.0,8.3,9.0,7.4,9.0,6.0,8.0,7.7,7.2,7.4,7.5,7.4,2.5,7.3,7.3,0.0,8.9,9.1
10123080,7.1,7.7,6.0,9.0,5.6,7.3,7.7,6.7,7.1,8.4,8.0,7.7,6.5,6.7,7.2,7.0,6.8,5.8,5.8,6.6,7.0,6.7,5.9,6.9,6.9,6.3,5.2,5.9
12523118,6.3,6.3,7.0,9.1,5.0,8.8,7.7,6.3,6.6,5.4,6.0,7.6,7.0,5.8,8.9,7.0,6.8,5.7,6.7,6.2,6.5,6.5,6.0,7.1,7.6,7.7,5.8,6.4
10123154,6.2,8.3,7.0,8.5,6.5,6.8,7.2,5.4,7.2,8.8,6.0,7.6,7.5,6.7,8.6,6.0,7.0,6.6,7.5,7.0,7.0,7.0,7.8,6.7,6.4,6.8,5.3,6.7
12523048,6.8,8.2,7.0,9.4,7.4,7.8,8.0,7.0,6.8,9.2,5.0,7.1,9.0,7.2,8.2,6.0,6.8,6.5,8.3,6.4,7.0,8.8,4.8,7.2,8.0,7.3,2.5,8.0
10123102,4.8,8.7,5.0,9.0,6.0,7.7,8.6,8.0,7.4,8.9,8.0,8.2,6.0,8.3,8.7,7.0,7.8,8.0,7.8,9.0,7.0,8.7,8.8,8.3,8.3,8.7,5.6,9.0
10123078,6.9,8.2,6.0,8.5,5.8,6.3,7.5,6.7,6.7,8.3,8.0,7.6,5.5,6.4,6.8,7.0,5.0,5.2,6.0,6.0,7.0,6.0,7.8,7.1,6.4,6.5,6.4,6.3
10123279,6.6,6.4,7.0,8.9,6.8,7.0,7.0,6.2,7.1,7.3,7.0,7.0,4.0,6.6,7.9,6.0,7.5,5.7,7.4,8.1,7.0,8.2,8.3,7.5,8.7,8.3,8.2,8.4
10123261,7.3,9.3,9.0,7.7,6.9,7.0,8.8,7.9,8.2,9.4,6.0,9.1,6.5,6.1,8.9,7.0,7.5,6.5,7.2,5.8,6.5,7.3,7.3,7.4,6.5,0.0,7.9,8.1
12523092,7.5,9.7,7.0,8.8,6.9,7.5,8.2,6.8,8.0,9.6,9.0,8.3,6.0,6.9,8.4,8.0,7.0,7.3,6.6,7.5,7.5,7.4,2.9,8.6,7.6,7.5,7.5,8.2
10123242,7.1,8.8,9.0,9.4,6.2,9.0,8.4,7.3,7.7,8.7,9.0,8.1,7.8,6.4,8.5,9.0,7.3,8.0,5.9,8.4,7.0,8.3,8.7,8.1,8.0,7.7,8.4,8.4
12523066,5.7,9.2,7.0,9.1,7.8,6.7,8.5,6.9,7.7,8.9,4.0,6.8,7.0,5.8,8.3,7.0,6.5,5.5,5.9,7.5,6.5,8.0,6.7,7.2,7.7,7.4,5.8,7.2
10123298,7.3,8.7,7.0,8.7,7.7,8.3,8.5,6.8,8.9,9.4,6.0,9.2,8.0,8.2,9.4,8.0,8.0,7.1,7.8,7.6,7.5,8.9,9.2,8.8,8.3,8.3,6.9,8.7
10123135,6.3,7.8,7.0,9.1,6.1,8.0,8.4,6.3,7.5,9.8,7.0,8.3,7.5,6.4,7.9,7.0,5.5,5.4,6.8,5.6,7.0,8.2,5.8,7.5,7.2,6.2,7.8,8.7
10123237,8.2,9.3,8.0,8.9,6.3,6.5,7.7,6.2,7.3,9.3,8.0,8.3,6.8,7.1,7.0,6.0,6.8,5.2,6.7,6.1,7.0,7.9,7.8,7.4,6.7,6.5,5.6,7.9
12523093,6.9,8.9,8.0,9.1,7.0,7.0,6.9,6.0,7.1,9.6,7.0,7.5,7.5,6.5,7.8,8.0,6.8,7.1,6.0,6.5,6.5,6.5,7.4,7.6,6.8,8.4,6.8,8.5
10123269,6.1,8.8,7.0,9.4,8.4,7.0,7.5,6.7,6.9,8.1,6.0,8.2,7.0,8.2,7.5,7.0,7.3,6.7,8.5,5.8,6.5,7.9,7.4,6.7,8.2,8.2,7.0,8.9
10122121,6.9,8.7,6.0,9.2,7.3,7.3,,6.4,6.0,9.0,6.0,9.0,8.8,7.5,9.5,7.0,7.3,6.7,8.7,7.1,7.5,7.7,7.4,7.4,8.0,8.3,8.2,8.1
12523101,6.8,9.3,7.0,9.4,6.9,6.5,7.8,7.8,8.3,8.6,6.0,7.7,8.5,8.3,9.4,6.0,8.3,7.7,7.6,6.6,7.0,7.3,7.8,8.0,7.4,6.4,7.3,7.4
12523077,7.0,9.3,6.0,8.3,7.2,6.0,8.3,8.1,7.3,7.5,7.0,8.0,6.5,8.2,7.2,8.0,7.5,7.3,7.6,7.9,7.5,7.9,8.3,7.9,7.7,8.5,7.4,8.8
12523032,7.0,8.4,8.0,9.1,7.9,5.5,8.6,7.4,8.3,9.5,8.0,8.6,5.5,8.3,8.2,5.0,7.5,7.3,8.9,7.0,7.5,6.8,8.8,7.4,6.4,7.7,7.4,7.9
10123178,6.9,8.4,7.0,9.3,6.3,8.5,8.1,7.5,7.1,8.7,9.0,7.8,7.0,7.0,8.9,6.0,7.3,7.5,7.5,9.2,7.0,8.9,8.4,8.1,8.7,7.4,7.7,6.3
10123224,7.2,8.3,7.0,8.6,8.4,5.8,7.9,8.2,8.8,7.9,8.0,8.4,7.8,6.5,8.7,7.0,8.5,7.5,8.2,8.2,6.5,8.5,9.4,8.4,8.2,6.5,6.2,8.8
10123337,7.2,9.7,7.0,8.7,6.8,7.8,7.5,7.2,8.3,9.3,8.0,8.1,8.8,7.5,8.9,6.0,7.5,7.3,7.9,7.5,6.5,8.2,8.3,7.4,7.4,8.7,7.7,9.0
12523072,7.4,10.0,9.0,9.4,7.3,7.5,8.7,7.0,7.1,9.4,7.0,7.8,9.0,8.0,9.6,7.0,8.3,7.8,7.9,8.2,7.0,8.3,9.2,7.9,8.8,7.7,8.0,7.8
